Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Key Pressed,Time,Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test1,218,218015,EK30,accept,0,0,-1,,,,,,1,14,-420,
test1,142,142017,JQ59,accept,1,-1,-1,,,,142,142017,,,-420,
test1,196,196007,JQ61,accept,0,0,-1,,,,,,1,,-420,
test1,251,251019,JQ69,accept,0,0,-1,,,,,,1,,-420,
test1,285,285005,NA72,accept,0,0,-1,,,,,,1,,-420,
test1,159,159013,NA86,accept,0,0,-1,,,,,,1,,-420,
test1,0,1.68738e+015,QF19,accept,0,4,4047.08,A,4,4670.76,4,4670.98,0,,-420,
test1,176,176004,QF23,accept,0,0,-1,,,,,,1,,-420,
test1,64,63989.6,QF50,accept,0,0,-1,,,,,,1,,-420,
test1,109,109004,QF62,accept,1,-1,-1,,,,109,109004,1,,-420,
test1,18,17997.3,QR21,accept,0,0,-1,,,,,,1,,-420,
test1,251,251019,QR31,accept,0,0,-1,,,,,,1,,-420,
test1,63,62994.1,SQ48,accept,0,0,-1,,,,,,1,,-420,
test1,178,178010,SQ80,accept,0,0,-1,,,,,,1,,-420,
test1,275,275019,TT53,accept,0,0,-1,,,,,,1,,-420,

test1,71,70990.9,BA57,handoff,0,0,-1,,,,,,1,14,-420,
test1,76,75990.8,BA82,handoff,0,0,-1,,,,,,1,,-420,
test1,234,234005,EK68,handoff,0,0,-1,,,,,,1,,-420,
test1,222,222015,GA37,handoff,0,0,-1,,,,,,1,,-420,
test1,187,187004,LPM,handoff,0,0,-1,,,,,,1,,-420,
test1,22,22001.9,MH03,handoff,0,0,-1,,,,,,1,,-420,
test1,43,42989.9,MH63,handoff,0,0,-1,,,,,,1,,-420,
test1,86,86010.3,MH75,handoff,0,0,-1,,,,,,1,,-420,
test1,263,263005,QF12,handoff,0,0,-1,,,,,,1,,-420,
test1,89,89005.1,QR39,handoff,0,0,-1,,,,,,1,,-420,
test1,102,102005,QR84,handoff,0,0,-1,,,,,,1,,-420,
test1,147,147018,SPM,handoff,0,0,-1,,,,,,1,,-420,
test1,204,204004,SQ02,handoff,0,0,-1,,,,,,1,,-420,
test1,159,159013,TT26,handoff,0,0,-1,,,,,,1,,-420,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed

Trial,Callsign,Dismiss Time,Dismiss Time HP

Trial,Interruption Type,Start Time,End Time,Show Full Screen,External Program,Auto Accept,Auto Handoff

Trial,Stimuli Number,Stimuli,Response

Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test11,127,127024,TT19,handoff,0,0,-1,,,1,,-380,
test11,241,241106,VA77,handoff,0,0,-1,,,1,,-380,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed

Trial,Callsign,Dismiss Time,Dismiss Time HP

Trial,Interruption Type,Start Time,End Time,Show Full Screen,External Program,Auto Accept,Auto Handoff

Trial,Stimuli Number,Stimuli,Response

Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test12,264,264131,BA21,accept,0,0,-1,,,1,16,-420,
test12,85,85072.8,CX76,accept,0,0,-1,,,1,,-420,
test12,200,200118,CX79,accept,0,0,-1,,,1,,-420,
test12,0,330252,CX83,accept,0,0,-1,,,1,,-420,
test12,263,263138,EK31,accept,0,0,-1,,,1,,-420,
test12,127,127090,EK50,accept,1,-1,-1,127,127090,,,-420,
test12,134,134089,EK69,accept,1,-1,-1,134,134089,,,-420,
test12,86,86073,EK91,accept,0,0,-1,,,1,,-420,
test12,62,62074.4,GA34,accept,0,0,-1,,,1,,-420,
test12,111,111071,JQ11,accept,1,-1,-1,111,111071,1,,-420,
test12,255,255133,JQ58,accept,0,0,-1,,,1,,-420,
test12,138,138101,JQ94,accept,1,-1,-1,138,138101,,,-420,
test12,46,46068.5,NA02,accept,0,0,-1,,,1,,-420,
test12,205,205130,SQ84,accept,0,0,-1,,,1,,-420,
test12,272,272139,TT10,accept,0,0,-1,,,1,,-420,
test12,11,11022.5,VA23,accept,0,0,-1,,,1,,-420,

test12,108,108071,CX16,handoff,1,-1,-1,108,108071,1,15,-420,
test12,169,169108,CX60,handoff,0,0,-1,,,1,,-420,
test12,72,72069.9,EK64,handoff,0,0,-1,,,1,,-420,
test12,128,128090,EK71,handoff,1,-1,-1,128,128090,,,-420,
test12,170,170101,GA14,handoff,0,0,-1,,,1,,-420,
test12,40,40071.7,JQ38,handoff,0,0,-1,,,1,,-420,
test12,187,187122,LPM,handoff,0,0,-1,,,1,,-420,
test12,77,77088.4,NA33,handoff,0,0,-1,,,1,,-420,
test12,184,184127,QF80,handoff,0,0,-1,,,1,,-420,
test12,147,147105,SPM,handoff,0,0,-1,,,1,,-420,
test12,60,60070.2,SQ96,handoff,0,0,-1,,,1,,-420,
test12,108,108071,TT13,handoff,1,-1,-1,108,108071,1,,-420,
test12,39,39073.3,TT46,handoff,0,0,-1,,,1,,-420,
test12,243,243134,TT66,handoff,0,0,-1,,,1,,-420,
test12,297,297149,VA23,handoff,0,0,-1,,,,,-420,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed

Trial,Callsign,Dismiss Time,Dismiss Time HP

Trial,Interruption Type,Start Time,End Time,Show Full Screen,External Program,Auto Accept,Auto Handoff

Trial,Stimuli Number,Stimuli,Response

Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test13,186,186075,BA43,accept,0,0,-1,,,1,15,-390,
test13,277,277101,BA58,accept,0,0,-1,,,1,,-390,
test13,153,153073,BA95,accept,0,0,-1,,,1,,-390,
test13,184,184073,BA96,accept,0,0,-1,,,1,,-390,
test13,100,100032,CX24,accept,1,-1,-1,100,100032,1,,-390,
test13,242,242078,CX90,accept,0,0,-1,,,1,,-390,
test13,151,151062,EK49,accept,0,0,-1,,,1,,-390,
test13,235,235090,GA25,accept,0,0,-1,,,1,,-390,
test13,36,36030,GA54,accept,0,0,-1,,,1,,-390,
test13,269,269077,JQ69,accept,0,0,-1,,,1,,-390,
test13,0,330250,MH26,accept,0,0,-1,,,1,,-390,
test13,213,213078,QR13,accept,0,0,-1,,,1,,-390,
test13,39,39036,QR84,accept,0,0,-1,,,1,,-390,
test13,80,80035.7,TT35,accept,0,0,-1,,,1,,-390,
test13,14,14019.3,VA34,accept,0,0,-1,,,1,,-390,

test13,183,183073,CX03,handoff,0,0,-1,,,1,15,-390,
test13,161,161070,CX74,handoff,0,0,-1,,,1,,-390,
test13,198,198098,GA97,handoff,0,0,-1,,,1,,-390,
test13,73,73032.5,JQ60,handoff,0,0,-1,,,1,,-390,
test13,32,32030.4,JQ62,handoff,0,0,-1,,,1,,-390,
test13,173,173069,LPM,handoff,0,0,-1,,,1,,-390,
test13,299,299093,MH26,handoff,0,0,-1,,,,,-390,
test13,151,151062,NA09,handoff,0,0,-1,,,1,,-390,
test13,37,37033.1,QF12,handoff,0,0,-1,,,1,,-390,
test13,12,12017.4,QF20,handoff,0,0,-1,,,1,,-390,
test13,256,256079,QR88,handoff,0,0,-1,,,1,,-390,
test13,133,133043,SPM,handoff,0,0,-1,,,1,,-390,
test13,122,122033,SQ85,handoff,1,-1,-1,122,122033,,,-390,
test13,25,25021.7,TT56,handoff,0,0,-1,,,1,,-390,
test13,116,116031,TT94,handoff,1,-1,-1,116,116031,,,-390,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed

Trial,Callsign,Dismiss Time,Dismiss Time HP

Trial,Interruption Type,Start Time,End Time,Show Full Screen,External Program,Auto Accept,Auto Handoff

Trial,Stimuli Number,Stimuli,Response

Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test14,250,250080,BA04,accept,0,0,-1,,,1,16,-450,
test14,215,215077,GA29,accept,0,0,-1,,,1,,-450,
test14,43,42988.9,MH44,accept,0,0,-1,,,1,,-450,
test14,1,985.005,MH89,accept,0,0,-1,,,1,,-450,
test14,24,23987,MH92,accept,0,0,-1,,,1,,-450,
test14,213,213092,NA11,accept,0,0,-1,,,1,,-450,
test14,257,257087,NA49,accept,0,0,-1,,,1,,-450,
test14,180,180080,QF31,accept,0,0,-1,,,1,,-450,
test14,242,242077,QF74,accept,0,0,-1,,,1,,-450,
test14,64,63983.1,QF77,accept,0,0,-1,,,1,,-450,
test14,158,158079,QR45,accept,0,0,-1,,,1,,-450,
test14,161,161085,SQ26,accept,0,0,-1,,,1,,-450,
test14,93,93037,SQ65,accept,0,0,-1,,,1,,-450,
test14,109,109049,SQ90,accept,1,-1,-1,109,109049,1,,-450,
test14,67,66999.5,VA46,accept,0,0,-1,,,1,,-450,
test14,203,203090,VA68,accept,0,0,-1,,,1,,-450,

test14,79,79029.9,CX58,handoff,0,0,-1,,,1,13,-450,
test14,75,75017.1,GA18,handoff,0,0,-1,,,1,,-450,
test14,178,178080,LPM,handoff,0,0,-1,,,1,,-450,
test14,233,233078,MH98,handoff,0,0,-1,,,1,,-450,
test14,22,21985.5,NA09,handoff,0,0,-1,,,1,,-450,
test14,108,108052,NA41,handoff,1,-1,-1,108,108052,1,,-450,
test14,12,11982.7,QF70,handoff,0,0,-1,,,1,,-450,
test14,210,210083,QR12,handoff,0,0,-1,,,1,,-450,
test14,138,138067,SPM,handoff,0,0,-1,,,1,,-450,
test14,277,277089,SQ40,handoff,0,0,-1,,,1,,-450,
test14,190,190079,SQ47,handoff,0,0,-1,,,1,,-450,
test14,165,165092,TT57,handoff,0,0,-1,,,1,,-450,
test14,46,45990.3,VA63,handoff,0,0,-1,,,1,,-450,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed

Trial,Callsign,Dismiss Time,Dismiss Time HP

Trial,Interruption Type,Start Time,End Time,Show Full Screen,External Program,Auto Accept,Auto Handoff

Trial,Stimuli Number,Stimuli,Response

Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test15,260,260212,EK29,accept,0,0,-1,,,1,15,-370,
test15,15,15034.8,EK39,accept,0,0,-1,,,1,,-370,
test15,42,42040.6,EK93,accept,0,0,-1,,,1,,-370,
test15,160,160158,JQ18,accept,1,-1,-1,160,160158,,,-370,
test15,198,198201,JQ50,accept,0,0,-1,,,1,,-370,
test15,255,255209,MH23,accept,0,0,-1,,,1,,-370,
test15,142,142136,QF33,accept,1,-1,-1,142,142136,1,,-370,
test15,42,42040.6,QF89,accept,0,0,-1,,,1,,-370,
test15,28,28049.9,QR46,accept,0,0,-1,,,1,,-370,
test15,227,227217,QR71,accept,0,0,-1,,,1,,-370,
test15,31,31039.4,SQ32,accept,0,0,-1,,,1,,-370,
test15,89,89066.1,TT56,accept,0,0,-1,,,1,,-370,
test15,160,160158,VA13,accept,1,-1,-1,160,160158,,,-370,
test15,97,97079.9,VA30,accept,0,0,-1,,,1,,-370,
test15,276,276215,VA83,accept,0,0,-1,,,1,,-370,

test15,199,199195,GA88,handoff,0,0,-1,,,1,14,-370,
test15,211,211193,LPM,handoff,0,0,-1,,,1,,-370,
test15,59,59050,MH45,handoff,0,0,-1,,,1,,-370,
test15,122,122124,NA92,handoff,0,0,-1,,,1,,-370,
test15,59,59050,QF26,handoff,0,0,-1,,,1,,-370,
test15,18,18037,QR90,handoff,0,0,-1,,,1,,-370,
test15,171,171163,SPM,handoff,0,0,-1,,,1,,-370,
test15,71,71064.5,SQ37,handoff,0,0,-1,,,1,,-370,
test15,221,221218,SQ77,handoff,0,0,-1,,,1,,-370,
test15,13,13021.3,SQ94,handoff,0,0,-1,,,1,,-370,
test15,96,96079,TT01,handoff,0,0,-1,,,1,,-370,
test15,160,160158,TT51,handoff,1,-1,-1,160,160158,,,-370,
test15,35,35038.9,VA31,handoff,0,0,-1,,,1,,-370,
test15,145,145144,VA98,handoff,1,-1,-1,145,145144,,,-370,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed

Trial,Callsign,Dismiss Time,Dismiss Time HP

Trial,Interruption Type,Start Time,End Time,Show Full Screen,External Program,Auto Accept,Auto Handoff

Trial,Stimuli Number,Stimuli,Response

Trial,Flash Time,Flash Time (HP),Flash CS,Type,Automatic,Selection Time,Selection Time (HP),Acceptance Time,Acceptance Time (HP),Error,Error Total,Score
test16,248,248131,BA71,accept,0,0,-1,,,1,15,-390,
test16,43,42978.9,CX11,accept,0,0,-1,,,1,,-390,
test16,80,80008.3,CX20,accept,0,0,-1,,,1,,-390,
test16,182,182079,CX68,accept,0,0,-1,,,1,,-390,
test16,276,276147,CX69,accept,0,0,-1,,,1,,-390,
test16,206,206089,EK93,accept,0,0,-1,,,1,,-390,
test16,68,67991.1,MH32,accept,0,0,-1,,,1,,-390,
test16,63,62991.4,MH65,accept,0,0,-1,,,1,,-390,
test16,79,79008.4,NA24,accept,0,0,-1,,,1,,-390,
test16,141,141067,NA60,accept,1,-1,-1,141,141067,,,-390,
test16,293,293151,NA98,accept,0,0,-1,,,,,-390,
test16,31,30978,QF75,accept,0,0,-1,,,1,,-390,
test16,241,241119,QF77,accept,0,0,-1,,,1,,-390,
test16,137,137069,VA43,accept,1,-1,-1,137,137069,1,,-390,
test16,210,210086,VA97,accept,0,0,-1,,,1,,-390,

test16,78,78012.7,BA88,handoff,0,0,-1,,,1,15,-390,
test16,165,165075,CX50,handoff,0,0,-1,,,1,,-390,
test16,31,30977.9,CX90,handoff,0,0,-1,,,1,,-390,
test16,284,284148,JQ02,handoff,0,0,-1,,,1,,-390,
test16,174,174075,JQ13,handoff,0,0,-1,,,1,,-390,
test16,11,10985.6,JQ54,handoff,0,0,-1,,,1,,-390,
test16,205,205088,LPM,handoff,0,0,-1,,,1,,-390,
test16,102,102023,MH22,handoff,0,0,-1,,,1,,-390,
test16,139,139055,MH74,handoff,1,-1,-1,139,139055,,,-390,
test16,123,123029,QF96,handoff,0,0,-1,,,1,,-390,
test16,165,165075,SPM,handoff,0,0,-1,,,1,,-390,
test16,44,43975.6,SQ01,handoff,0,0,-1,,,1,,-390,
test16,241,241119,SQ19,handoff,0,0,-1,,,1,,-390,
test16,108,108025,SQ92,handoff,0,0,-1,,,1,,-390,
test16,187,187084,VA35,handoff,0,0,-1,,,1,,-390,

Intervene Time,Intervention Time (HP),Intervene CS,Level,Missed

Trial,Callsign,Dismiss Time,Dismiss Time HP

Trial,Interruption Type,Start Time,End Time,Show Full Screen,External Program,Auto Accept,Auto Handoff

Trial,Stimuli Number,Stimuli,Response

Trial,Total Score
test1,-420
test2,-390
test3,-430
test4,-390
test5,-410
test6,-450
test7,-450
test8,-400
test9,-420
test10,-360
test11,-380
test12,-420
test13,-390
test14,-450
test15,-370
test16,-390
Total,-6520
